INFO 2025-10-13 07:20:19,099 basehttp "GET /static/libs/bootstrap/css/bootstrap.min.css HTTP/1.1" 200 232111
INFO 2025-10-13 07:20:19,106 basehttp "GET /static/libs/tom-select/tom-select.bootstrap5.css HTTP/1.1" 200 18194
INFO 2025-10-13 07:20:19,121 basehttp "GET /static/css/intelligent_import.css HTTP/1.1" 200 1715
INFO 2025-10-13 07:20:19,121 basehttp "GET /static/libs/font-awesome/css/all.min.css HTTP/1.1" 200 74320
INFO 2025-10-13 07:20:19,121 basehttp "GET /static/libs/bootstrap-icons/bootstrap-icons.css HTTP/1.1" 200 99556
INFO 2025-10-13 07:20:19,133 basehttp "GET /static/js/toast-notifications.js HTTP/1.1" 200 2161
INFO 2025-10-13 07:20:19,133 basehttp "GET /static/libs/tom-select/tom-select.complete.min.js HTTP/1.1" 200 50720
INFO 2025-10-13 07:20:19,137 basehttp "GET /static/libs/sweetalert2/sweetalert2.all.min.js HTTP/1.1" 200 78487
INFO 2025-10-13 07:20:19,139 basehttp "GET /static/libs/bootstrap/js/bootstrap.bundle.min.js HTTP/1.1" 200 80496
WARNING 2025-10-13 07:20:19,141 log Not Found: /.well-known/appspecific/com.chrome.devtools.json
WARNING 2025-10-13 07:20:19,142 basehttp "GET /.well-known/appspecific/com.chrome.devtools.json HTTP/1.1" 404 28709
INFO 2025-10-13 07:20:19,144 basehttp "GET /static/js/intelligent_import_manager.js HTTP/1.1" 200 48538
INFO 2025-10-13 07:20:19,145 basehttp "GET /static/admin/js/vendor/jquery/jquery.min.js HTTP/1.1" 200 89795
INFO 2025-10-13 07:20:19,154 basehttp "GET /static/libs/font-awesome/webfonts/fa-solid-900.woff2 HTTP/1.1" 200 113152
WARNING 2025-10-13 07:20:19,204 basehttp "GET /static/libs/tom-select/tom-select.bootstrap5.css.map HTTP/1.1" 404 1995
INFO 2025-10-13 07:20:19,208 basehttp "GET /static/libs/bootstrap/js/bootstrap.bundle.min.js.map HTTP/1.1" 200 332111
INFO 2025-10-13 07:20:19,212 basehttp "GET /static/libs/bootstrap/css/bootstrap.min.css.map HTTP/1.1" 200 590038
WARNING 2025-10-13 07:20:19,256 basehttp "GET /static/libs/tom-select/tom-select.complete.min.js.map HTTP/1.1" 404 1998
INFO 2025-10-13 11:25:17,390 autoreload Watching for file changes with StatReloader
INFO 2025-10-13 11:25:24,655 basehttp "GET / HTTP/1.1" 302 0
INFO 2025-10-13 11:25:24,805 basehttp "GET /home/ HTTP/1.1" 200 51757
INFO 2025-10-13 11:30:24,979 autoreload Watching for file changes with StatReloader
INFO 2025-10-13 11:30:33,581 basehttp "GET /home/ HTTP/1.1" 200 51757
INFO 2025-10-13 11:30:35,860 basehttp "GET /data-model/ HTTP/1.1" 200 42081
INFO 2025-10-13 11:30:35,898 basehttp "GET /static/css/data_model.css HTTP/1.1" 200 6410
INFO 2025-10-13 11:30:35,901 basehttp "GET /static/js/vendor/html2canvas.min.js HTTP/1.1" 200 198689
INFO 2025-10-13 11:30:35,972 basehttp "GET /static/js/vendor/jsplumb.min.js HTTP/1.1" 200 215838
INFO 2025-10-13 11:30:35,976 basehttp "GET /static/js/data_model.js HTTP/1.1" 200 83979
INFO 2025-10-13 11:30:35,987 basehttp "GET /static/js/vendor/dagre.min.js HTTP/1.1" 200 283803
INFO 2025-10-13 11:30:36,034 basehttp "GET /static/js/vendor/jspdf.umd.min.js HTTP/1.1" 200 364463
INFO 2025-10-13 11:30:44,723 basehttp "GET /data-management/ HTTP/1.1" 200 37573
INFO 2025-10-13 11:30:44,742 basehttp "GET /static/js/data_management.js HTTP/1.1" 304 0
INFO 2025-10-13 11:30:44,742 basehttp "GET /static/css/data_management.css HTTP/1.1" 304 0
INFO 2025-10-13 11:30:44,768 basehttp "GET /api/connections/ HTTP/1.1" 200 1162
INFO 2025-10-13 11:30:51,676 basehttp "GET /api/data/visible-tables/71f7e302-0211-4310-8446-05fbc003446a/ HTTP/1.1" 200 235
INFO 2025-10-13 11:30:54,387 basehttp "GET /intelligent-import/?connection=71f7e302-0211-4310-8446-05fbc003446a HTTP/1.1" 200 44998
INFO 2025-10-13 11:30:54,411 basehttp "GET /static/css/intelligent_import.css HTTP/1.1" 304 0
INFO 2025-10-13 11:30:54,412 basehttp "GET /static/js/intelligent_import_manager.js HTTP/1.1" 304 0
INFO 2025-10-13 11:30:59,083 basehttp "GET /intelligent-import/api/session/01393bbe-cae4-4ffb-bffd-2dbaa9f3fa24/ HTTP/1.1" 200 682
INFO 2025-10-13 11:31:11,695 basehttp "GET /intelligent-import/api/session/01393bbe-cae4-4ffb-bffd-2dbaa9f3fa24/ HTTP/1.1" 200 682
WARNING 2025-10-13 11:32:21,559 log Bad Request: /intelligent-import/api/upload-analyze/
WARNING 2025-10-13 11:32:21,559 basehttp "POST /intelligent-import/api/upload-analyze/ HTTP/1.1" 400 159
